Input Size,Run Time (ns)
0,658
1,395
2,1316
3,1448
4,1580
5,1712
6,1712
7,1843
8,1711
9,1843
10,1843
11,2107
12,1975
13,1712
14,1712
15,1711
16,1975
17,1843
18,1844
19,1843
20,1975
21,1975
22,1975
23,1975
24,1975
